2023-10-31 15:42:43 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:43 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /get_script/ HTTP/1.1" 200 743
2023-10-31 15:42:43 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens?results_per_page=200&page=1 HTTP/1.1" 200 2312174
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens?results_per_page=200&page=2 HTTP/1.1" 200 1700998
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens?results_per_page=200&page=3 HTTP/1.1" 200 434848
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens/248 HTTP/1.1" 200 8472
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens/248 HTTP/1.1" 200 8472
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens/248 HTTP/1.1" 200 8472
2023-10-31 15:42:44 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/regimens/248 HTTP/1.1" 200 8472
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:473 _make_request MainThread | http://mtrain:5000 "GET /api/v1/subjects/366122 HTTP/1.1" 200 110
2023-10-31 15:42:45 | urllib3.connectionpool | DEBUG | connectionpool.py:245 _new_conn MainThread | Starting new HTTP connection (1): mtrain:5000
